NS;Matricule Operateur;Heur Passage;Temps Test;Presence Connecteur;Presence Blandage;Presence C2;Presence C24;INPUT CURRENT (NO TRIGER);INPUT TENSION (NO TRIGER);Apple Mode 3A VBUS  (0A/CC1);Apple Mode 3A D+  (0A/CC1);Apple Mode 3A D-  (0A/CC1);TYPE C VBUS (0A/CC1);TYPE C CC1 (0A/CC1);TYPE C VBUS (3A/CC1);PDO2 VBUS (0A/CC1);PDO2 VBUS (3A/CC1);PDO3 VBUS (0A/CC1);PDO3 VBUS (3A/CC1);PDO4 VBUS (0A/CC1);PDO4 VBUS (3A/CC1);PPS 8.5V VBUS (0A/CC1);PPS 8.5V VBUS (3A/CC1);PPS 20V VBUS (3A/CC1);Apple Mode 3A VBUS  (0A/CC2);Apple Mode 3A D+  (0A/CC2);Apple Mode 3A D-  (0A/CC2);TYPE C VBUS (0A/CC2);TYPE C CC2 (0A/CC2);TYPE C VBUS (3A/CC2);PDO2 VBUS (0A/CC2);PDO2 VBUS (3A/CC2);PDO3 VBUS (0A/CC2);PDO3 VBUS (3A/CC2);PDO4 VBUS (0A/CC2);PDO4 VBUS (3A/CC2);PPS 8.5V VBUS (0A/CC2);PPS 8.5V VBUS (3A/CC2);PPS 20V VBUS (3A/CC2);INPUT CURRENT (FULL LOAD);INPUT TENSION (FULL LOAD);Status Carte;
3073400591-00-W20-L2- 26 06G025-0002145;669;08:05:15;32,9;OK;OK;OK;OK;0,001;24,063;5,146;2,660;3,262;5,016;1,694;5,006;9,011;9,040;14,998;15,028;19,970;20,011;8,506;8,711;19,891;5,151;2,644;3,257;5,016;1,694;5,090;9,005;9,029;14,993;15,011;19,970;19,994;8,506;8,706;20,016;2,652;23,931;OK
3073400591-00-W20-L2- 26 06G025-0002133;669;08:05:36;14,0;OK;OK;OK;OK;0,000;24,052;5,108;2,671;3,262;4,972;1,656;4,968;8,978;9,013;14,987;15,022;19,981;20,016;4,972;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W20-L2- 26 06G025-0002133;669;08:05:15;32,9;OK;OK;OK;OK;0,000;24,052;5,103;2,660;3,262;4,972;1,656;4,968;8,973;9,013;14,987;15,022;19,981;20,022;8,479;8,679;19,902;5,113;2,654;3,284;4,972;1,661;5,063;8,978;9,008;14,987;15,011;19,976;20,011;8,479;8,679;20,027;2,647;23,930;OK
3073400591-00-W20-L2- 26 06G025-0001321;669;08:05:55;32,8;OK;OK;OK;OK;0,000;24,052;5,119;2,660;3,273;4,978;1,666;4,973;8,973;9,013;14,966;15,000;19,949;19,994;8,473;8,668;19,870;5,113;2,682;3,289;4,983;1,666;5,068;8,973;9,002;14,966;14,990;19,949;19,984;8,473;8,673;19,994;2,644;23,931;OK
3073400591-00-W20-L2- 26 06G025-0002131;669;08:05:36;32,9;OK;OK;OK;OK;0,000;24,052;5,119;2,665;3,268;4,983;1,666;4,979;8,989;9,029;14,993;15,044;19,998;20,043;8,484;8,684;19,913;5,113;2,682;3,284;4,978;1,656;5,068;8,989;9,019;14,998;15,028;19,998;20,032;8,484;8,690;20,038;2,651;23,930;OK
3073400591-00-W20-L2- 26 06G025-0002100;669;08:05:20;32,8;OK;OK;OK;OK;0,000;24,058;5,113;2,654;3,262;4,972;1,694;4,979;8,962;9,002;14,938;14,984;19,916;19,962;8,463;8,663;19,837;5,113;2,671;3,262;4,972;1,688;5,057;8,957;8,981;14,944;14,962;19,916;19,951;8,463;8,663;19,962;2,626;23,931;OK
3073400591-00-W20-L2- 26 06G025-0002109;669;08:05:07;32,8;OK;OK;OK;OK;0,000;24,052;5,135;2,649;3,273;4,994;1,666;4,995;8,995;9,035;15,004;15,038;19,992;20,032;8,490;8,690;19,913;5,130;2,654;3,273;4,994;1,666;5,084;8,995;9,029;15,004;15,028;19,987;20,022;8,490;8,695;20,032;2,643;23,931;OK
3073400591-00-W20-L2- 26 06G025-0002143;669;08:05:48;32,8;OK;OK;OK;OK;0,000;24,058;5,113;2,665;3,273;4,972;1,710;4,968;8,967;9,008;14,955;14,995;19,932;19,978;8,457;8,668;19,853;5,108;2,671;3,273;5,119;1,715;5,057;8,967;8,997;14,955;14,979;19,927;19,956;8,468;8,663;19,978;2,603;23,932;OK
3073400591-00-W20-L2- 26 06G025-0002115;669;08:05:28;32,8;OK;OK;OK;OK;0,000;24,063;5,108;2,660;3,262;4,978;1,645;4,973;8,973;9,019;14,971;15,011;19,949;20,005;8,473;8,673;19,870;5,113;2,665;3,284;4,978;1,639;5,063;8,978;8,997;14,971;14,995;19,954;19,978;8,479;8,673;20,000;2,645;23,931;OK
3073400591-00-W20-L2- 26 06G025-0002451;669;08:05:11;32,8;OK;OK;OK;OK;0,002;24,058;5,065;2,644;3,262;4,951;1,699;4,941;8,957;8,991;14,955;14,990;19,943;19,984;8,457;8,652;19,864;5,092;2,644;3,273;4,956;1,704;5,041;8,957;8,981;14,960;14,979;19,949;19,978;8,452;8,652;19,989;2,624;24,074;OK
